CPU Family,CPU,GPU Family,GPU Model,Config,Mode,Precision,Model,Power Limit,Batches per run,REFERENCE
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,resnet50-96,242,50,"626,05"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,vgg16-96,242,50,186
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,alexnet-384,242,50,"4015,52"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,inception3-48,242,50,730
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,inception4-12,242,50,264
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,resnet152-24,242,50,"364,25"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,resnet50-48,242,50,"1075,5"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,vgg16-48,242,50,"724,95"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,alexnet-384,242,50,"2978,5"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,inception3-48,242,50,193
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,inception4-12,242,50,61
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,resnet152-24,242,50,857
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,resnet50-48,242,50,"274,95"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,vgg16-48,242,50,-nan
