1605899599, 0, 40, 
1605899601, 0, 41, 
1605899603, 0, 52, 
1605899605, 0, 55, 
1605899607, 0, 57, 
1605899609, 0, 56, 
1605899611, 0, 53, 
1605899613, 0, 59, 
1605899615, 0, 61, 
1605899617, 3676.3, 62, 
1605899619, 3677.8, 63, 
1605899621, 3677.8, 61, 
1605899917, 3656.1, 53, 
1605899919, 3656.1, 53, 
1605899921, 3656.1, 62, 
1605899923, 3656.1, 64, 
1605899925, 3656.1, 65, 
1605899927, 3656.1, 65, 
1605899929, 3656.1, 63, 
1605899931, 3656.1, 62, 
1605899933, 3656.1, 66, 
1605899935, 3656.1, 67, 
1605899937, 2280.8, 68, 
1605899939, 2809.1, 69, 
1605899941, 3176.5, 69, 
1605899952, 3260.9, 53, 
1605899954, 3260.9, 53, 
1605899956, 3260.9, 62, 
1605899958, 3260.9, 64, 
1605899960, 3260.9, 65, 
1605899962, 3260.9, 64, 
1605899964, 3260.9, 61, 
1605899966, 3260.9, 65, 
1605899968, 3260.9, 67, 
1605899970, 3663.7, 68, 
1605899972, 3658.3, 68, 
1605899983, 3656.7, 53, 
1605899986, 3656.7, 54, 
1605899988, 3656.7, 62, 
1605899990, 3656.7, 64, 
1605899992, 3656.7, 65, 
1605899994, 3656.7, 66, 
1605899996, 3656.7, 62, 
1605899998, 3656.7, 63, 
1605900000, 3656.7, 67, 
1605900002, 1453.9, 67, 
1605900004, 2280.1, 68, 
1605900006, 3043.8, 69, 
1605900018, 3261.6, 53, 
1605900020, 3261.6, 54, 
1605900022, 3261.6, 62, 
1605900024, 3261.6, 64, 
1605900026, 3261.6, 65, 
1605900028, 3261.6, 65, 
1605900030, 3261.6, 62, 
1605900032, 3261.6, 64, 
1605900034, 3261.6, 67, 
1605900036, 3261.6, 68, 
1605900038, 3261.6, 69, 
1605900040, 720.7, 69, 
1605900042, 720.7, 70, 
1605900044, 1391.9, 70, 
1605900046, 2015.6, 70, 
1605900057, 2214.2, 54, 
1605900059, 2214.2, 54, 
1605900061, 2214.2, 62, 
1605900063, 2214.2, 64, 
1605900065, 2214.2, 65, 
1605900067, 2214.2, 64, 
1605900069, 2214.2, 63, 
1605900071, 2214.2, 62, 
1605900073, 2214.2, 68, 
1605900075, 2214.2, 68, 
1605900077, 2214.2, 69, 
1605900079, 2214.2, 69, 
1605900081, 720.8, 70, 
1605900083, 1061.8, 70, 
1605900085, 2014.6, 70, 
1605900097, 2454.2, 54, 
1605900099, 2454.2, 54, 
1605900101, 2454.2, 62, 
1605900103, 2454.2, 64, 
1605900105, 2454.2, 65, 
1605900107, 2454.2, 66, 
1605900109, 2454.2, 62, 
1605900111, 2454.2, 64, 
